Rank,Title,Number of Ratings,Year of Release,Runtime,Decade,IMDb Rating,MPAA Rating,Runtime in Minutes
218,Maharaja,73K,2024,2h 21m,2020s,8.4,,141
221,La haine,216K,1995,1h 38m,1990s,8.1,Not Rated,98
222,The Seventh Seal,211K,1957,1h 36m,1950s,8.1,Not Rated,96
224,Jai Bhim,229K,2021,2h 44m,2020s,8.6,Approved,164
225,Hotel Rwanda,386K,2004,2h 1m,2000s,8.1,PG-13,121
227,The Best Years of Our Lives,76K,1946,2h 50m,1940s,8.1,Approved,170
229,The Sound of Music,281K,1965,2h 52m,1960s,8.1,G,172
231,The Incredibles,868K,2004,1h 55m,2000s,8,PG,115
232,Hachi: A Dog's Tale,332K,2009,1h 33m,2000s,8.1,G,93
234,The Wizard of Oz,455K,1939,1h 42m,1930s,8.1,G,102
235,The Passion of Joan of Arc,66K,1928,1h 54m,1920s,8.1,Passed,114
237,A Silent Voice: The Movie,127K,2016,2h 10m,2010s,8.1,Not Rated,130
238,The Iron Giant,249K,1999,1h 26m,1990s,8.1,PG,86
239,My Father and My Son,98K,2005,1h 52m,2000s,8.2,Not Rated,112
241,The Handmaiden,192K,2016,2h 25m,2010s,8.1,Not Rated,145
242,The Battle of Algiers,72K,1966,2h 1m,1960s,8.1,Not Rated,121
243,The Grapes of Wrath,106K,1940,2h 9m,1940s,8.1,Approved,129
244,To Be or Not to Be,48K,1942,1h 39m,1940s,8.1,Approved,99
246,The Help,518K,2011,2h 26m,2010s,8.1,PG-13,146
247,Groundhog Day,724K,1993,1h 41m,1990s,8,PG,101
248,Drishyam,103K,2015,2h 43m,2010s,8.2,Not Rated,163
249,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,89K,2020,1h 57m,2020s,8.2,TV-MA,117
250,Gangs of Wasseypur,110K,2012,5h 21m,2010s,8.2,Not Rated,321
